ID,Date ID,Catalog Item ID,Geolocation Name,Catalog Item Title,Geolocation Type,Catalog Item Type
92405,7673,11264,SLOVENIA,Dingle Single Malt Batch No.5,Country,Bottle
92415,7673,17863,SLOVENIA,Diplomatico Mantuano,Country,Bottle
92423,7673,12724,SLOVENIA,Diplomatico N°2 Barbet Rum,Country,Bottle
92432,7673,14258,SLOVENIA,Diplomático Reserva Exclusiva,Country,Bottle
92442,7673,13739,SLOVENIA,Domaine Tariquet Bas-Armagnac XO,Country,Bottle
92456,7673,17436,SLOVENIA,Don Papa Baroko Rum,Country,Bottle
92463,7673,15511,SLOVENIA,Don Papa Small Batch Rum,Country,Bottle
92475,7673,12878,SLOVENIA,Dos Maderas PX 5YO + 5YO Rum,Country,Bottle
92489,7673,17868,SLOVENIA,Drebbel Small Batch London Gin,Country,Bottle
92516,7673,15557,SLOVENIA,Edinburgh Gin,Country,Bottle
92525,7673,12904,SLOVENIA,Edradour Caledonia 12 Year Old,Country,Bottle
92534,7673,14738,SLOVENIA,El Dorado 12 Year Old,Country,Bottle
92540,7673,14862,SLOVENIA,El Dorado 15 Year Old,Country,Bottle
92548,7673,14028,SLOVENIA,El Dorado 21 Year Old Special Reserve,Country,Bottle
92556,7673,12865,SLOVENIA,Elephant Gin,Country,Bottle
92565,7673,15324,SLOVENIA,El Espolòn Tequila Blanco,Country,Bottle
92575,7673,15654,SLOVENIA,Elijah Craig Small Batch Bourbon,Country,Bottle
92584,7673,12340,SLOVENIA,El Jimador Reposado Tequila,Country,Bottle
92599,7673,14989,SLOVENIA,Empirical Ayuuk,Country,Bottle
92607,7673,14795,SLOVENIA,"Empirical The Plum, I Suppose",Country,Bottle
92624,7673,14486,SLOVENIA,Etsu Japanese Gin,Country,Bottle
92629,7673,17862,SLOVENIA,Euphoria 80 Absinth,Country,Bottle
92636,7673,13962,SLOVENIA,Evan Williams Single Barrel Bourbon Vintage 2011,Country,Bottle
92641,7673,18019,SLOVENIA,Ezra Brooks Black Label Kentucky Straight Bourbon Whiskey,Country,Bottle
92648,7673,15378,SLOVENIA,Facundo Eximo Rum,Country,Bottle
92661,7673,17399,SLOVENIA,Farthofer Bio-Nackthafer 2016 Edition,Country,Bottle
92678,7673,14506,SLOVENIA,FEW Straight Bourbon Whiskey,Country,Bottle
92685,7673,15738,SLOVENIA,Filliers Dry Gin 28,Country,Bottle
92689,7673,14225,SLOVENIA,Finlaggan Cask Strength,Country,Bottle
92694,7673,12141,SLOVENIA,Finlaggan Old Reserve,Country,Bottle
92699,7673,13116,SLOVENIA,Finlaggan The Original Peaty,Country,Bottle
92828,7673,10691,SLOVENIA,Gin 1689 Authentic Dutch Dry Gin,Country,Bottle
92833,7673,14896,SLOVENIA,Gin 1689 Authentic Dutch Pink Gin,Country,Bottle
92854,7673,11674,SLOVENIA,Gin Mare Mediterranean Gin,Country,Bottle
92871,7673,13666,SLOVENIA,Gin Sul,Country,Bottle
92879,7673,15439,SLOVENIA,Glencadam 18 Year Old,Country,Bottle
92896,7673,15390,SLOVENIA,Glenfarclas 105,Country,Bottle
92905,7673,15856,SLOVENIA,Glenfarclas 10 Year Old,Country,Bottle
92912,7673,10666,SLOVENIA,Glenfarclas 15 Year Old,Country,Bottle
92924,7673,15633,SLOVENIA,Glenfiddich 12 Year Old,Country,Bottle
92937,7673,14714,SLOVENIA,Glenfiddich Fire & Cane Experimental Series,Country,Bottle
92948,7673,15526,SLOVENIA,Glenfiddich Select Cask,Country,Bottle
92953,7673,13529,SLOVENIA,Glenglassaugh Evolution,Country,Bottle
92961,7673,10405,SLOVENIA,Glengoyne 10 Year Old,Country,Bottle
92975,7673,12488,SLOVENIA,Glenkinchie 12 Year Old,Country,Bottle
92989,7673,15577,SLOVENIA,Glenmorangie Lasanta 12 Year Old,Country,Bottle
92996,7673,3759,SLOVENIA,Glenmorangie Nectar D'Or,Country,Bottle
93003,7673,12342,SLOVENIA,Glenmorangie Quinta Ruban 14 Year Old,Country,Bottle
93011,7673,18001,SLOVENIA,Glenmorangie Tarlogan Single Malt Whisky,Country,Bottle
93017,7673,18334,SLOVENIA,Glenmorangie The Elementa 14 Year Old (1L),Country,Bottle
93022,7673,12616,SLOVENIA,Glenmorangie The Original 10 Year Old,Country,Bottle
93031,7673,15071,SLOVENIA,Glen Scotia 11 Year Old Sherry Double Cask Finish,Country,Bottle
93048,7673,15172,SLOVENIA,Gölles Elderberry Brandy,Country,Bottle
93052,7673,18335,SLOVENIA,Gordon's Alcohol Free,Country,Bottle
93082,7673,14273,SLOVENIA,Grand Marnier Cordon Rouge,Country,Bottle
93098,7673,14705,SLOVENIA,Green Spot Château Léoville Barton Single Pot Still Irish Whiskey,Country,Bottle
93116,7673,13202,SLOVENIA,Hammerle Vom ganz Gutem Enzian Reserve,Country,Bottle
93122,7673,17359,SLOVENIA,Hanami Dry Gin,Country,Bottle
93132,7673,12390,SLOVENIA,Hardy Cognac Legend 1863,Country,Bottle
93147,7673,13523,SLOVENIA,Havana Club Selección De Maestros Rum,Country,Bottle
93163,7673,14760,SLOVENIA,Heaven's Door Straight Rye Whiskey,Country,Bottle
93169,7673,18402,SLOVENIA,Hector Legrand Extra Brandy 15 Year Old,Country,Bottle
93173,7673,13958,SLOVENIA,Hellyers Road 10 Year Old,Country,Bottle
93177,7673,18018,SLOVENIA,Hellyers Road Original Roaring Forty Single Malt Whisky,Country,Bottle
93193,7673,15746,SLOVENIA,Hendrick's Midsummer Solstice Gin,Country,Bottle
93204,7673,14226,SLOVENIA,Hennessy VSOP Cognac,Country,Bottle
93210,7673,11233,SLOVENIA,Hennessy XO,Country,Bottle
93236,7673,10897,SLOVENIA,Herencia de Plata Tequila Reposado,Country,Bottle
93257,7673,13266,SLOVENIA,Highland Park 12 Year Old,Country,Bottle
93262,7673,18081,SLOVENIA,Highland Park 14 Year Old Loyalty of The Wolf (1L),Country,Bottle
93270,7673,17445,SLOVENIA,Highland Park Dragon Legend,Country,Bottle
93277,7673,17861,SLOVENIA,Highland Park Spirit Of The Bear (1L),Country,Bottle
93282,7673,14179,SLOVENIA,Highland Park The Dark 17 Year Old,Country,Bottle
93294,7673,17444,SLOVENIA,Highland Park Viking Scars 10 Years Old,Country,Bottle
93300,7673,13514,SLOVENIA,High West American Prairie Straight Bourbon Whiskey,Country,Bottle
93306,7673,14969,SLOVENIA,High West Double Rye!,Country,Bottle
93316,7673,18082,SLOVENIA,Himbrimi Winterbird London Dry Gin,Country,Bottle
93344,7673,11888,SLOVENIA,Hudson Baby Bourbon Whiskey,Country,Bottle
